Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,vCPUs,Clock Speed(GHz),Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Average cost,EMR cost
C6GD Medium,c6gd.medium,"19,098.549",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 10 Gigabit,$0.0384 hourly,$0.0242 hourly,$0.0105 hourly,
C6GN Medium,c6gn.medium,"19,136.314",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 16 Gigabit,$0.0432 hourly,$0.0273 hourly,$0.0119 hourly,
M6G Medium,m6g.medium,"19,256.692",General purpose,,4 GiB,,1 vCPUs,,EBS only,Up to 10 Gigabit,$0.0385 hourly,$0.0241 hourly,$0.0144 hourly,
C6G Medium,c6g.medium,"19,743.337",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.034 hourly,$0.0214 hourly,$0.0089 hourly,
R6GD Medium,r6gd.medium,"19,801.98",Memory optimized,6.8 fps,8 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 10 Gigabit,$0.0576 hourly,$0.0363 hourly,$0.0177 hourly,
M6GD Medium,m6gd.medium,"19,811.134",General purpose,,4 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 10 Gigabit,$0.0452 hourly,$0.0285 hourly,$0.0149 hourly,
R6G Medium,r6g.medium,"19,841.27",Memory optimized,7.0 fps,8 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.0504 hourly,$0.0318 hourly,$0.014 hourly,
M7GD Medium,m7gd.medium,"24,319.066",General purpose,,4 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0534 hourly,$0.0336 hourly,$0.0175 hourly,
C7G Medium,c7g.medium,"24,828.271",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0363 hourly,$0.0239 hourly,$0.0129 hourly,
C7GD Medium,c7gd.medium,"24,917.461",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0454 hourly,$0.0286 hourly,$0.0153 hourly,
M7G Medium,m7g.medium,"25,521.055",General purpose,,4 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0408 hourly,$0.027 hourly,$0.0177 hourly,
R7GD Medium,r7gd.medium,"25,953.802",Memory optimized,10.0 fps,8 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.068 hourly,$0.0428 hourly,$0.0186 hourly,
M5AD Large,m5ad.large,"25,994.281",General purpose,9.7 fps,8 GiB,2667 MT/s,2 vCPUs,2.5 GHz,75 GB NVMe SSD,Up to 10 Gigabit,$0.103 hourly,$0.065 hourly,$0.0455 hourly,
R5A Large,r5a.large,"26,305.406",Memory optimized,9.6 fps,16 GiB,3200 MT/s,2 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.113 hourly,$0.071 hourly,$0.0482 hourly,
R7G Medium,r7g.medium,"26,471.367",Memory optimized,10.0 fps,8 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0536 hourly,$0.0354 hourly,$0.0164 hourly,
M5A Large,m5a.large,"26,516.407",General purpose,9.6 fps,8 GiB,3200 MT/s,2 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.086 hourly,$0.054 hourly,$0.0385 hourly,
R5AD Large,r5ad.large,"26,638.253",Memory optimized,9.6 fps,16 GiB,3200 MT/s,2 vCPUs,2.5 GHz,75 GB NVMe SSD,Up to 10 Gigabit,$0.131 hourly,$0.083 hourly,$0.0521 hourly,
R5D Large,r5d.large,"28,203.441",Memory optimized,11.0 fps,16 GiB,3200 MT/s,2 vCPUs,3.1 GHz,75 GB NVMe SSD,Up to 10 Gigabit,$0.144 hourly,$0.091 hourly,$0.0781 hourly,
M5 General Purpose Large,m5.large,"28,469.751",General purpose,12.0 fps,8 GiB,3200 MT/s,2 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$0.096 hourly,$0.06 hourly,$0.0405 hourly,
M5 General Purpose Large,m5d.large,"28,933.79",General purpose,10.0 fps,8 GiB,2666 MT/s,2 vCPUs,3.1 GHz,75 GB NVMe SSD,Up to 10 Gigabit,$0.113 hourly,$0.071 hourly,$0.0706 hourly,
R5 Large,r5.large,"29,155.936",Memory optimized,11.0 fps,16 GiB,2666 MT/s,2 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$0.126 hourly,$0.079 hourly,$0.0414 hourly,
C8GN Medium,c8gn.medium,"29,202.765",Compute optimized,,2 GiB,,1 vCPUs,2.8 GHz,EBS only,Up to 25 Gigabit,$0.0593 hourly,,$0.023 hourly,
M8G Medium,m8g.medium,"29,431.241",General purpose,,4 GiB,,1 vCPUs,2.7 GHz,EBS only,Up to 12.5 Gigabit,$0.0449 hourly,$0.0297 hourly,$0.0141 hourly,
C8GB Medium,c8gb.medium,"29,620.853",Compute optimized,,2 GiB,,1 vCPUs,2.8 GHz,EBS only,Up to 16.66 Gigabit,$0.0593 hourly,,$0.0164 hourly,
C8G Medium,c8g.medium,"30,161.363",Compute optimized,,2 GiB,,1 vCPUs,2.7 GHz,EBS only,Up to 12.5 Gigabit,$0.0399 hourly,$0.0263 hourly,$0.0131 hourly,
R5N Large,r5n.large,"30,237.363",Memory optimized,12.0 fps,16 GiB,3200 MT/s,2 vCPUs,2.5 GHz,EBS only,Up to 25 Gigabit,$0.149 hourly,$0.094 hourly,$0.0482 hourly,
M8GB Medium,m8gb.medium,"30,250.321",General purpose,,4 GiB,,1 vCPUs,2.8 GHz,EBS only,Up to 16.66 Gigabit,$0.0728 hourly,,$0.0201 hourly,
M8GN Medium,m8gn.medium,"30,369.752",General purpose,,4 GiB,,1 vCPUs,2.8 GHz,EBS only,Up to 25 Gigabit,$0.0728 hourly,,$0.0193 hourly,
R8G Medium,r8g.medium,"30,926.241",Memory optimized,12.0 fps,8 GiB,,1 vCPUs,2.7 GHz,EBS only,Up to 12.5 Gigabit,$0.0589 hourly,$0.039 hourly,$0.0124 hourly,
C5N Large,c5n.large,"31,365.989",Compute optimized,12.0 fps,5.25 GiB,2666 MT/s,2 vCPUs,3 GHz,EBS only,Up to 25 Gigabit,$0.108 hourly,$0.068 hourly,$0.0387 hourly,
M6IN Large,m6in.large,"32,420.165",General purpose,14.0 fps,8 GiB,3200 MT/s,2 vCPUs,3.5 GHz,EBS only,Up to 25 Gigabit,$0.1392 hourly,$0.0877 hourly,$0.0481 hourly,
M7A Medium,m7a.medium,"32,470.168",General purpose,,4 GiB,5600 MT/s,1 vCPUs,Up to 3.7 GHz,EBS only,Up to 12.5 Gigabit,$0.058 hourly,$0.0383 hourly,$0.0212 hourly,
C7A Medium,c7a.medium,"32,965.222",Compute optimized,,2 GiB,4800 MT/s,1 vCPUs,Up to 3.7 GHz,EBS only,Up to 12.5 Gigabit,$0.0513 hourly,$0.034 hourly,$0.0094 hourly,
C5 High-CPU Large,c5.large,"33,103.448",Compute optimized,,4 GiB,3200 MT/s,2 vCPUs,3.4 GHz,EBS only,Up to 10 Gigabit,$0.085 hourly,$0.054 hourly,$0.0315 hourly,
M6IDN Large,m6idn.large,"33,200.531",General purpose,14.0 fps,8 GiB,3200 MT/s,2 vCPUs,3.5 GHz,118 GB NVMe SSD,Up to 25 Gigabit,$0.1591 hourly,$0.1003 hourly,$0.052 hourly,
C5 High-CPU Large,c5d.large,"33,285.255",Compute optimized,,4 GiB,2933 MT/s,2 vCPUs,3.4 GHz,50 GB NVMe SSD,Up to 10 Gigabit,$0.096 hourly,$0.06 hourly,$0.0379 hourly,
C6IN Large,c6in.large,"33,765.247",Compute optimized,,4 GiB,3200 MT/s,2 vCPUs,3.5 GHz,EBS only,Up to 25 Gigabit,$0.1134 hourly,$0.0714 hourly,$0.0362 hourly,
M6ID Large,m6id.large,"35,040.077",General purpose,14.0 fps,8 GiB,3200 MT/s,2 vCPUs,3.5 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1187 hourly,$0.0748 hourly,$0.0435 hourly,
M6I Large,m6i.large,"35,055.431",General purpose,14.0 fps,8 GiB,3200 MT/s,2 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.096 hourly,$0.0635 hourly,$0.0399 hourly,
C6I Large,c6i.large,"35,321.128",Compute optimized,,4 GiB,3200 MT/s,2 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.085 hourly,$0.0562 hourly,$0.0362 hourly,
R7A Medium,r7a.medium,"35,377.358",Memory optimized,15.0 fps,8 GiB,4800 MT/s,1 vCPUs,Up to 3.7 GHz,EBS only,Up to 12.5 Gigabit,$0.0761 hourly,$0.0503 hourly,$0.0218 hourly,
R6I Large,r6i.large,"36,253.776",Memory optimized,11.0 fps,16 GiB,3200 MT/s,2 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.126 hourly,$0.0834 hourly,$0.0534 hourly,
C5A Large,c5a.large,"37,030.18",Compute optimized,,4 GiB,2933 MT/s,2 vCPUs,3.3 GHz,EBS only,Up to 10 Gigabit,$0.077 hourly,$0.049 hourly,$0.032 hourly,
M6G Large,m6g.large,"37,343.624",General purpose,13.0 fps,8 GiB,,2 vCPUs,,EBS only,Up to 10 Gigabit,$0.077 hourly,$0.0483 hourly,$0.0456 hourly,
M5ZN Large,m5zn.large,"39,037.72",General purpose,14.0 fps,8 GiB,2933 MT/s,2 vCPUs,4.5 GHz,EBS only,Up to 25 Gigabit,$0.1652 hourly,$0.1041 hourly,$0.0439 hourly,
R6GD Large,r6gd.large,"39,110.879",Memory optimized,13.0 fps,16 GiB,,2 vCPUs,2.5 GHz,118 GB NVMe SSD,Up to 10 Gigabit,$0.1152 hourly,$0.0726 hourly,$0.0487 hourly,
R6G Large,r6g.large,"39,267.016",Memory optimized,13.0 fps,16 GiB,,2 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.1008 hourly,$0.0635 hourly,$0.0431 hourly,
C7I Large,c7i.large,"39,481.477",Compute optimized,,4 GiB,4800 MT/s,2 vCPUs,3.2 GHz,EBS only,Up to 12.5 Gigabit,$0.0893 hourly,$0.059 hourly,$0.0319 hourly,
C6GD Large,c6gd.large,"39,968.026",Compute optimized,,4 GiB,,2 vCPUs,2.5 GHz,118 GB NVMe SSD,Up to 10 Gigabit,$0.0768 hourly,$0.0484 hourly,$0.0316 hourly,
C6GN Large,c6gn.large,"40,238.75",Compute optimized,,4 GiB,,2 vCPUs,2.5 GHz,EBS only,Up to 25 Gigabit,$0.0864 hourly,$0.0545 hourly,$0.0399 hourly,
M6GD Large,m6gd.large,"40,249.547",General purpose,13.0 fps,8 GiB,,2 vCPUs,2.5 GHz,118 GB NVMe SSD,Up to 10 Gigabit,$0.0904 hourly,$0.057 hourly,$0.0487 hourly,
C6G Large,c6g.large,"40,300.913",Compute optimized,,4 GiB,,2 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.068 hourly,$0.0428 hourly,$0.0289 hourly,
C7I-FLEX Large,c7i-flex.large,"40,363.269",Compute optimized,,4 GiB,4800 MT/s,2 vCPUs,3.2 GHz,EBS only,Up to 12.5 Gigabit,$0.0848 hourly,$0.0561 hourly,$0.0339 hourly,
M6A Large,m6a.large,"40,862.192",General purpose,17.0 fps,8 GiB,3200 MT/s,2 vCPUs,3.6 GHz,EBS only,Up to 12.5 Gigabit,$0.0864 hourly,$0.0572 hourly,$0.0397 hourly,
M8A Medium,m8a.medium,"41,172.03",General purpose,,4 GiB,6400 MT/s,1 vCPUs,Up to 4.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0609 hourly,,$0.0216 hourly,
C8A Medium,c8a.medium,"42,137.791",Compute optimized,,2 GiB,6400 MT/s,1 vCPUs,Up to 4.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0539 hourly,,$0.0127 hourly,
R6A Large,r6a.large,"42,316.847",Memory optimized,17.0 fps,16 GiB,3200 MT/s,2 vCPUs,3.6 GHz,EBS only,Up to 12.5 Gigabit,$0.1134 hourly,$0.075 hourly,$0.047 hourly,
M8IDN Large,m8idn.large,"42,614.393",General purpose,20.0 fps,8 GiB,7200 MT/s,2 vCPUs,3.9 GHz,118 GB NVMe SSD,Up to 25 Gigabit,$0.1909 hourly,,$0.0759 hourly,
C8I Large,c8i.large,"42,900.043",Compute optimized,,4 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.0937 hourly,,$0.048 hourly,
C6A Large,c6a.large,"43,208.987",Compute optimized,,4 GiB,2933 MT/s,2 vCPUs,3.6 GHz,EBS only,Up to 12.5 Gigabit,$0.0765 hourly,$0.0506 hourly,$0.0296 hourly,
M7I-FLEX Large,m7i-flex.large,"43,763.676",General purpose,16.0 fps,8 GiB,4800 MT/s,2 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0958 hourly,$0.0633 hourly,$0.0451 hourly,
M8I Large,m8i.large,"44,021.35",General purpose,20.0 fps,8 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.1058 hourly,,$0.0432 hourly,
R8I Large,r8i.large,"44,023.773",Memory optimized,20.0 fps,16 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.1389 hourly,,$0.0452 hourly,
M8I-FLEX Large,m8i-flex.large,"44,411.547",General purpose,19.0 fps,8 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.1006 hourly,,$0.0415 hourly,
R8A Medium,r8a.medium,"44,859.813",Memory optimized,20.0 fps,8 GiB,6400 MT/s,1 vCPUs,Up to 4.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0799 hourly,,$0.0236 hourly,
R8IDB Large,r8idb.large,"45,325.779",Memory optimized,20.0 fps,16 GiB,7200 MT/s,2 vCPUs,3.9 GHz,118 GB NVMe SSD,Up to 16.66 Gigabit,$0.2345 hourly,,$0.064 hourly,
M8IDB Large,m8idb.large,"45,736.936",General purpose,20.0 fps,8 GiB,7200 MT/s,2 vCPUs,3.9 GHz,118 GB NVMe SSD,Up to 16.66 Gigabit,$0.1909 hourly,,$0.0689 hourly,
M8IB Large,m8ib.large,"45,879.452",General purpose,20.0 fps,8 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 16.66 Gigabit,$0.1671 hourly,,$0.0527 hourly,
R8I-FLEX Large,r8i-flex.large,"46,481.001",Memory optimized,20.0 fps,16 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.132 hourly,,$0.0488 hourly,
R8IDN Large,r8idn.large,"46,542.295",Memory optimized,20.0 fps,16 GiB,7200 MT/s,2 vCPUs,3.9 GHz,118 GB NVMe SSD,Up to 25 Gigabit,$0.2345 hourly,,$0.068 hourly,
M7I Large,m7i.large,"46,780.89",General purpose,17.0 fps,8 GiB,5600 MT/s,2 vCPUs,3.2 GHz,EBS only,Up to 12.5 Gigabit,$0.1008 hourly,$0.0667 hourly,$0.0388 hourly,
R8IN Large,r8in.large,"46,818.306",Memory optimized,20.0 fps,16 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 25 Gigabit,$0.2092 hourly,,$0.0548 hourly,
M8INE Large,m8ine.large,"47,221.785",General purpose,21.0 fps,8 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,3.125 Gigabit,$0.2089 hourly,,,
M8IN Large,m8in.large,"47,225.502",General purpose,20.0 fps,8 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 25 Gigabit,$0.1671 hourly,,$0.0518 hourly,
R8IB Large,r8ib.large,"47,553.002",Memory optimized,20.0 fps,16 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 16.66 Gigabit,$0.2092 hourly,,$0.0594 hourly,
C8INE Large,c8ine.large,"47,630.388",Compute optimized,,4 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,3.125 Gigabit,$0.1701 hourly,,,
R7I Large,r7i.large,"48,385.146",Memory optimized,17.0 fps,16 GiB,4800 MT/s,2 vCPUs,3.2 GHz,EBS only,Up to 12.5 Gigabit,$0.1323 hourly,$0.0875 hourly,$0.0515 hourly,
C8I-FLEX Large,c8i-flex.large,"48,504.446",Compute optimized,,4 GiB,7200 MT/s,2 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.089 hourly,,$0.0355 hourly,
R7G Large,r7g.large,"49,239.86",Memory optimized,19.0 fps,16 GiB,,2 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.1071 hourly,$0.0708 hourly,$0.0513 hourly,
M7GD Large,m7gd.large,"49,443.758",General purpose,18.0 fps,8 GiB,,2 vCPUs,2.5 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1068 hourly,$0.0673 hourly,$0.0534 hourly,
C7GD Large,c7gd.large,"50,706.725",Compute optimized,,4 GiB,,2 vCPUs,2.5 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.0907 hourly,$0.0572 hourly,$0.0438 hourly,
M7G Large,m7g.large,"51,659.563",General purpose,19.0 fps,8 GiB,,2 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0816 hourly,$0.054 hourly,$0.0491 hourly,
R5AD Extra Large,r5ad.xlarge,"51,880.674",Memory optimized,19.0 fps,32 GiB,2667 MT/s,4 vCPUs,2.5 GHz,150 GB NVMe SSD,Up to 10 Gigabit,$0.262 hourly,$0.165 hourly,$0.1412 hourly,$0.066 hourly
C7G Large,c7g.large,"51,890.77",Compute optimized,,4 GiB,,2 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0725 hourly,$0.0478 hourly,$0.0371 hourly,
R7GD Large,r7gd.large,"52,160.306",Memory optimized,19.0 fps,16 GiB,,2 vCPUs,2.5 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1361 hourly,$0.0855 hourly,$0.0638 hourly,
M5AD Extra Large,m5ad.xlarge,"52,335.47",General purpose,19.0 fps,16 GiB,2667 MT/s,4 vCPUs,2.5 GHz,150 GB NVMe SSD,Up to 10 Gigabit,$0.206 hourly,$0.13 hourly,$0.1042 hourly,$0.052 hourly
M5A Extra Large,m5a.xlarge,"52,823.876",General purpose,19.0 fps,16 GiB,3200 MT/s,4 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.172 hourly,$0.108 hourly,$0.0863 hourly,$0.043 hourly
R5A Extra Large,r5a.xlarge,"53,565.45",Memory optimized,19.0 fps,32 GiB,2667 MT/s,4 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.226 hourly,$0.142 hourly,$0.0924 hourly,$0.057 hourly
C8G Large,c8g.large,"58,152.213",Compute optimized,,4 GiB,,2 vCPUs,2.7 GHz,EBS only,Up to 12.5 Gigabit,$0.0798 hourly,$0.0526 hourly,$0.0354 hourly,
R5 Extra Large,r5.xlarge,"58,306.205",Memory optimized,20.0 fps,32 GiB,2666 MT/s,4 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$0.252 hourly,$0.159 hourly,$0.0706 hourly,$0.063 hourly
R5D Extra Large,r5d.xlarge,"58,662.495",Memory optimized,20.0 fps,32 GiB,2666 MT/s,4 vCPUs,3.1 GHz,150 GB NVMe SSD,Up to 10 Gigabit,$0.288 hourly,$0.181 hourly,$0.1674 hourly,$0.072 hourly
M5 General Purpose Extra Large,m5d.xlarge,"59,020.264",General purpose,20.0 fps,16 GiB,3200 MT/s,4 vCPUs,3.1 GHz,150 GB NVMe SSD,Up to 10 Gigabit,$0.226 hourly,$0.142 hourly,$0.1353 hourly,$0.057 hourly
M5 General Purpose Extra Large,m5.xlarge,"59,119.125",General purpose,20.0 fps,16 GiB,2666 MT/s,4 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$0.192 hourly,$0.121 hourly,$0.0646 hourly,$0.048 hourly
M8GN Large,m8gn.large,"59,435.364",General purpose,22.0 fps,8 GiB,,2 vCPUs,2.8 GHz,EBS only,Up to 30 Gigabit,$0.1455 hourly,,$0.0638 hourly,
R5N Extra Large,r5n.xlarge,"59,946.049",Memory optimized,20.0 fps,32 GiB,3200 MT/s,4 vCPUs,2.5 GHz,EBS only,Up to 25 Gigabit,$0.298 hourly,$0.188 hourly,$0.1535 hourly,$0.0745 hourly
C8GB Large,c8gb.large,"60,163.947",Compute optimized,,4 GiB,,2 vCPUs,2.8 GHz,EBS only,Up to 20 Gigabit,$0.1185 hourly,,$0.056 hourly,
C8GN Large,c8gn.large,"60,656.608",Compute optimized,,4 GiB,,2 vCPUs,2.8 GHz,EBS only,Up to 30 Gigabit,$0.1185 hourly,,$0.0487 hourly,
M8GB Large,m8gb.large,"62,348.999",General purpose,22.0 fps,8 GiB,,2 vCPUs,2.8 GHz,EBS only,Up to 20 Gigabit,$0.1455 hourly,,$0.0696 hourly,
M8G Large,m8g.large,"62,514.652",General purpose,22.0 fps,8 GiB,,2 vCPUs,2.7 GHz,EBS only,Up to 12.5 Gigabit,$0.0898 hourly,$0.0594 hourly,$0.0519 hourly,
R8G Large,r8g.large,"63,582.896",Memory optimized,22.0 fps,16 GiB,,2 vCPUs,2.7 GHz,EBS only,Up to 12.5 Gigabit,$0.1178 hourly,$0.0779 hourly,$0.0433 hourly,
C5 High-CPU Extra Large,c5d.xlarge,"63,798.397",Compute optimized,26.0 fps,8 GiB,2933 MT/s,4 vCPUs,3.4 GHz,100 GB NVMe SSD,Up to 10 Gigabit,$0.192 hourly,$0.121 hourly,$0.0755 hourly,$0.048 hourly
R7A Large,r7a.large,"65,782.261",Memory optimized,27.0 fps,16 GiB,4800 MT/s,2 vCPUs,Up to 3.7 GHz,EBS only,Up to 12.5 Gigabit,$0.1522 hourly,$0.1007 hourly,$0.0545 hourly,
M6ID Extra Large,m6id.xlarge,"65,797.59",General purpose,28.0 fps,16 GiB,3200 MT/s,4 vCPUs,3.5 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2373 hourly,$0.1495 hourly,$0.0956 hourly,$0.0593 hourly
C5N Extra Large,c5n.xlarge,"65,832.785",Compute optimized,24.0 fps,10.5 GiB,2666 MT/s,4 vCPUs,3 GHz,EBS only,Up to 25 Gigabit,$0.216 hourly,$0.136 hourly,$0.0924 hourly,$0.054 hourly
R6I Extra Large,r6i.xlarge,"66,126.633",Memory optimized,28.0 fps,32 GiB,3200 MT/s,4 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.252 hourly,$0.1667 hourly,$0.0986 hourly,$0.063 hourly
M6I Extra Large,m6i.xlarge,"66,741.751",General purpose,27.0 fps,16 GiB,3200 MT/s,4 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.192 hourly,$0.127 hourly,$0.0916 hourly,$0.048 hourly
C7A Large,c7a.large,"67,336.289",Compute optimized,,4 GiB,4800 MT/s,2 vCPUs,Up to 3.7 GHz,EBS only,Up to 12.5 Gigabit,$0.1026 hourly,$0.0679 hourly,$0.0316 hourly,
M7A Large,m7a.large,"67,950.17",General purpose,27.0 fps,8 GiB,4800 MT/s,2 vCPUs,Up to 3.7 GHz,EBS only,Up to 12.5 Gigabit,$0.1159 hourly,$0.0767 hourly,$0.041 hourly,
C5A Extra Large,c5a.xlarge,"68,555.759",Compute optimized,28.0 fps,8 GiB,2933 MT/s,4 vCPUs,3.3 GHz,EBS only,Up to 10 Gigabit,$0.154 hourly,$0.097 hourly,$0.0693 hourly,$0.0385 hourly
C6IN Extra Large,c6in.xlarge,"68,678.371",Compute optimized,28.0 fps,8 GiB,3200 MT/s,4 vCPUs,3.5 GHz,EBS only,Up to 30 Gigabit,$0.2268 hourly,$0.1429 hourly,$0.0914 hourly,$0.0567 hourly
M6IDN Extra Large,m6idn.xlarge,"68,693.114",General purpose,28.0 fps,16 GiB,3200 MT/s,4 vCPUs,3.5 GHz,237 GB NVMe SSD,Up to 30 Gigabit,$0.3182 hourly,$0.2005 hourly,$0.1641 hourly,$0.0796 hourly
M6IN Extra Large,m6in.xlarge,"68,769.879",General purpose,28.0 fps,16 GiB,3200 MT/s,4 vCPUs,3.5 GHz,EBS only,Up to 30 Gigabit,$0.2785 hourly,$0.1754 hourly,$0.1181 hourly,$0.0696 hourly
C6I Extra Large,c6i.xlarge,"70,311.127",Compute optimized,27.0 fps,8 GiB,3200 MT/s,4 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.17 hourly,$0.1125 hourly,$0.0693 hourly,$0.0425 hourly
C5 High-CPU Extra Large,c5.xlarge,"72,684.323",Compute optimized,27.0 fps,8 GiB,2933 MT/s,4 vCPUs,3.4 GHz,EBS only,Up to 10 Gigabit,$0.17 hourly,$0.107 hourly,$0.077 hourly,$0.043 hourly
M6GD Extra Large,m6gd.xlarge,"76,098.675",General purpose,26.0 fps,16 GiB,,4 vCPUs,2.5 GHz,237 GB NVMe SSD,Up to 10 Gigabit,$0.1808 hourly,$0.1139 hourly,$0.1292 hourly,$0.0452 hourly
M6G Extra Large,m6g.xlarge,"77,002.053",General purpose,26.0 fps,16 GiB,,4 vCPUs,,EBS only,Up to 10 Gigabit,$0.154 hourly,$0.0966 hourly,$0.0683 hourly,$0.039 hourly
C6GD Extra Large,c6gd.xlarge,"78,426.247",Compute optimized,26.0 fps,8 GiB,,4 vCPUs,2.5 GHz,237 GB NVMe SSD,Up to 10 Gigabit,$0.1536 hourly,$0.0968 hourly,$0.0675 hourly,$0.0384 hourly
M7I-FLEX Extra Large,m7i-flex.xlarge,"78,697.555",General purpose,31.0 fps,16 GiB,4800 MT/s,4 vCPUs,3.5 GHz,EBS only,Up to 12.5 Gigabit,$0.1915 hourly,$0.1267 hourly,$0.0986 hourly,$0.0479 hourly
C6GN Extra Large,c6gn.xlarge,"79,166.117",Compute optimized,26.0 fps,8 GiB,,4 vCPUs,2.5 GHz,EBS only,Up to 25 Gigabit,$0.1728 hourly,$0.1091 hourly,$0.0866 hourly,$0.0432 hourly
R6A Extra Large,r6a.xlarge,"79,168.728",Memory optimized,34.0 fps,32 GiB,3200 MT/s,4 vCPUs,3.6 GHz,EBS only,Up to 12.5 Gigabit,$0.2268 hourly,$0.15 hourly,$0.0807 hourly,$0.0567 hourly
R6G Extra Large,r6g.xlarge,"79,507.056",Memory optimized,26.0 fps,32 GiB,,4 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.2016 hourly,$0.127 hourly,$0.0988 hourly,$0.0504 hourly
C6G Extra Large,c6g.xlarge,"79,512.324",Compute optimized,26.0 fps,8 GiB,,4 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.136 hourly,$0.0857 hourly,$0.0712 hourly,$0.034 hourly
R6GD Extra Large,r6gd.xlarge,"80,488.296",Memory optimized,25.0 fps,32 GiB,,4 vCPUs,2.5 GHz,237 GB NVMe SSD,Up to 10 Gigabit,$0.2304 hourly,$0.1452 hourly,$0.147 hourly,$0.0576 hourly
M6A Extra Large,m6a.xlarge,"80,527.455",General purpose,34.0 fps,16 GiB,3200 MT/s,4 vCPUs,3.6 GHz,EBS only,Up to 12.5 Gigabit,$0.1728 hourly,$0.1143 hourly,$0.0805 hourly,$0.0432 hourly
