Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,vCPUs,Clock Speed(GHz),Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Average cost,EMR cost
C8IN 12xlarge Extra Large,c8in.12xlarge,,Compute optimized,,96 GiB,,48 vCPUs,3.9 GHz,EBS only,75 Gigabit,$3.2659 hourly,,$1.3171 hourly,
C8IN 16xlarge Extra Large,c8in.16xlarge,,Compute optimized,,128 GiB,,64 vCPUs,3.9 GHz,EBS only,100 Gigabit,$4.3546 hourly,,$1.7656 hourly,
C8IN 24xlarge,c8in.24xlarge,,Compute optimized,,192 GiB,,96 vCPUs,3.9 GHz,EBS only,150 Gigabit,$6.5318 hourly,,$1.6095 hourly,
C8IN Double Extra Large,c8in.2xlarge,,Compute optimized,,16 GiB,,8 vCPUs,3.9 GHz,EBS only,Up to 40 Gigabit,$0.5443 hourly,,$0.2434 hourly,
C8IN 32xlarge,c8in.32xlarge,,Compute optimized,,256 GiB,,128 vCPUs,3.9 GHz,EBS only,200 Gigabit,$8.7091 hourly,,$2.7545 hourly,
C8IN 48xlarge,c8in.48xlarge,,Compute optimized,,384 GiB,,192 vCPUs,3.9 GHz,EBS only,300 Gigabit,$13.0637 hourly,,$3.8467 hourly,
C8IN Quadruple Extra Large,c8in.4xlarge,,Compute optimized,,32 GiB,,16 vCPUs,3.9 GHz,EBS only,Up to 50 Gigabit,$1.0886 hourly,,$0.4841 hourly,
C8IN Eight Extra Large,c8in.8xlarge,,Compute optimized,,64 GiB,,32 vCPUs,3.9 GHz,EBS only,50 Gigabit,$2.1773 hourly,,$0.9361 hourly,
C8IN 96xlarge,c8in.96xlarge,,Compute optimized,,768 GiB,,384 vCPUs,3.9 GHz,EBS only,600 Gigabit,$26.1274 hourly,,$9.0492 hourly,
C8IN Large,c8in.large,,Compute optimized,,4 GiB,,2 vCPUs,3.9 GHz,EBS only,Up to 25 Gigabit,$0.1361 hourly,,$0.0456 hourly,
C8IN Metal-48xl,c8in.metal-48xl,,Compute optimized,,384 GiB,,192 vCPUs,3.9 GHz,EBS only,300 Gigabit,$13.0637 hourly,,$2.7107 hourly,
C8IN Metal-96xl,c8in.metal-96xl,,Compute optimized,,768 GiB,,384 vCPUs,3.9 GHz,EBS only,600 Gigabit,$26.1274 hourly,,$4.9878 hourly,
C8IN Extra Large,c8in.xlarge,,Compute optimized,,8 GiB,,4 vCPUs,3.9 GHz,EBS only,Up to 30 Gigabit,$0.2722 hourly,,$0.08 hourly,
HPC8A 96xlarge,hpc8a.96xlarge,,General purpose,,768 GiB,,192 vCPUs,4.5 GHz,EBS only,300 Gigabit,,,,
M5DN 12xlarge Extra Large,m5dn.12xlarge,,General purpose,,192 GiB,,48 vCPUs,3.1 GHz,1800 GB (2×900 GB NVMe SSD),50 Gigabit,$3.264 hourly,$2.056 hourly,$1.4311 hourly,$0.27 hourly
M5DN 16xlarge Extra Large,m5dn.16xlarge,,General purpose,,256 GiB,,64 vCPUs,3.1 GHz,2400 GB (4×600 GB NVMe SSD),75 Gigabit,$4.352 hourly,$2.742 hourly,$2.2804 hourly,$0.27 hourly
M5DN 24xlarge,m5dn.24xlarge,,General purpose,,384 GiB,,96 vCPUs,3.1 GHz,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$6.528 hourly,$4.113 hourly,$2.8906 hourly,$0.27 hourly
M5DN Double Extra Large,m5dn.2xlarge,,General purpose,,32 GiB,,8 vCPUs,3.1 GHz,300 GB NVMe SSD,Up to 25 Gigabit,$0.544 hourly,$0.343 hourly,$0.3641 hourly,$0.136 hourly
M5DN Quadruple Extra Large,m5dn.4xlarge,,General purpose,,64 GiB,,16 vCPUs,3.1 GHz,600 GB (2×300 GB NVMe SSD),Up to 25 Gigabit,$1.088 hourly,$0.685 hourly,$0.5926 hourly,$0.27 hourly
M5DN Eight Extra Large,m5dn.8xlarge,,General purpose,,128 GiB,,32 vCPUs,3.1 GHz,1200 GB (2×600 GB NVMe SSD),25 Gigabit,$2.176 hourly,$1.371 hourly,$1.2484 hourly,$0.27 hourly
M5DN Large,m5dn.large,,General purpose,,8 GiB,,2 vCPUs,3.1 GHz,75 GB NVMe SSD,Up to 25 Gigabit,$0.136 hourly,$0.086 hourly,$0.0494 hourly,
M5DN Metal,m5dn.metal,,General purpose,,384 GiB,,96 vCPUs,3.1 GHz,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$6.528 hourly,$4.113 hourly,$2.0195 hourly,
M5DN Extra Large,m5dn.xlarge,,General purpose,,16 GiB,,4 vCPUs,3.1 GHz,150 GB NVMe SSD,Up to 25 Gigabit,$0.272 hourly,$0.171 hourly,$0.1387 hourly,$0.068 hourly
M5N 12xlarge Extra Large,m5n.12xlarge,,General purpose,,192 GiB,,48 vCPUs,3.1 GHz,EBS only,50 Gigabit,$2.856 hourly,$1.799 hourly,$1.1791 hourly,$0.27 hourly
M5N 16xlarge Extra Large,m5n.16xlarge,,General purpose,,256 GiB,,64 vCPUs,3.1 GHz,EBS only,75 Gigabit,$3.808 hourly,$2.399 hourly,$1.7295 hourly,$0.27 hourly
